"";"trim";"vv";"txj"
"1";1999-01-01;60069;2,18
"2";1999-02-01;29474;2,38
"3";1999-03-01;103085;3,33
"4";1999-04-01;84816;2,35
"5";1999-05-01;80241;2,02
"6";1999-06-01;76260;1,67
"7";1999-07-01;82960;1,66
"8";1999-08-01;91896;1,57
"9";1999-09-01;94546;1,49
"10";1999-10-01;68898;1,38
"11";1999-11-01;64389;1,39
"12";1999-12-01;61950;1,6
"13";2000-01-01;67310;1,46
"14";2000-02-01;84042;1,45
"15";2000-03-01;87686;1,45
"16";2000-04-01;84752;1,3
"17";2000-05-01;92422;1,49
"18";2000-06-01;87886;1,39
"19";2000-07-01;90504;1,31
"20";2000-08-01;101372;1,41
"21";2000-09-01;94035;1,22
"22";2000-10-01;95437;1,29
"23";2000-11-01;96007;1,22
"24";2000-12-01;94379;1,2
"25";2001-01-01;85861;1,27
"26";2001-02-01;95956;1,02
"27";2001-03-01;119464;1,26
"28";2001-04-01;112469;1,19
"29";2001-05-01;118892;1,34
"30";2001-06-01;102819;1,27
"31";2001-07-01;92048;1,5
"32";2001-08-01;98022;1,6
"33";2001-09-01;72538;1,32
"34";2001-10-01;82951;1,53
"35";2001-11-01;100300;1,39
"36";2001-12-01;95237;1,39
"37";2002-01-01;81616;1,53
"38";2002-02-01;83350;1,25
"39";2002-03-01;101253;1,37
"40";2002-04-01;105340;1,48
"41";2002-05-01;90815;1,42
"42";2002-06-01;85866;1,33
"43";2002-07-01;87902;1,54
"44";2002-08-01;101616;1,44
"45";2002-09-01;102203;1,38
"46";2002-10-01;120038;1,65
"47";2002-11-01;99141;1,54
"48";2002-12-01;104577;1,74
"49";2003-01-01;82416;1,97
"50";2003-02-01;97749;1,83
"51";2003-03-01;83821;1,78
"52";2003-04-01;83092;1,87
"53";2003-05-01;81159;1,97
"54";2003-06-01;75096;1,86
"55";2003-07-01;82245;2,08
"56";2003-08-01;81167;1,77
"57";2003-09-01;94170;1,68
"58";2003-10-01;106029;1,64
"59";2003-11-01;108354;1,34
"60";2003-12-01;107034;1,37
"61";2004-01-01;94581;1,27
"62";2004-02-01;99712;1,08
"63";2004-03-01;111554;1,38
"64";2004-04-01;97186;1,18
"65";2004-05-01;95178;1,23
"66";2004-06-01;99981;1,23
"67";2004-07-01;103631;1,29
"68";2004-08-01;106718;1,29
"69";2004-09-01;110674;1,25
"70";2004-10-01;103606;1,21
"71";2004-11-01;113850;1,25
"72";2004-12-01;126776;1,48
"73";2005-01-01;80043;1,38
"74";2005-02-01;93102;1,22
"75";2005-03-01;122189;1,53
"76";2005-04-01;112021;1,41
"77";2005-05-01;111694;1,5
"78";2005-06-01;112699;1,59
"79";2005-07-01;108681;1,51
"80";2005-08-01;119551;1,66
"81";2005-09-01;112520;1,5
"82";2005-10-01;110031;1,41
"83";2005-11-01;120971;1,38
"84";2005-12-01;126293;1,47
"85";2006-01-01;102844;1,43
"86";2006-02-01;107121;1,15
"87";2006-03-01;125909;1,42
"88";2006-04-01;111419;1,08
"89";2006-05-01;126612;1,28
"90";2006-06-01;118748;1,18
"91";2006-07-01;121924;1,17
"92";2006-08-01;135239;1,26
"93";2006-09-01;122457;1,06
"94";2006-10-01;129779;1,09
"95";2006-11-01;141203;1,02
"96";2006-12-01;130284;0,99
"97";2007-01-01;114136;1,08
"98";2007-02-01;116841;0,87
"99";2007-03-01;150880;1,05
"100";2007-04-01;139159;0,94
"101";2007-05-01;159692;1,03
"102";2007-06-01;151567;0,91
"103";2007-07-01;160315;0,97
"104";2007-08-01;175183;0,99
"105";2007-09-01;160419;0,81
"106";2007-10-01;180363;0,93
"107";2007-11-01;170647;0,84
"108";2007-12-01;144572;0,84
"109";2008-01-01;157580;0,93
"110";2008-02-01;157973;0,8
"111";2008-03-01;175247;0,84
"112";2008-04-01;195656;0,9
"113";2008-05-01;183729;0,88
"114";2008-06-01;199602;0,96
"115";2008-07-01;200697;1,07
"116";2008-08-01;195047;1,02
"117";2008-09-01;184914;1,1
"118";2008-10-01;157680;1,18
"119";2008-11-01;99789;1,02
"120";2008-12-01;90831;1,12
"121";2009-01-01;130211;1,05
"122";2009-02-01;150356;0,86
"123";2009-03-01;206536;0,97
"124";2009-04-01;177183;0,84
"125";2009-05-01;188039;0,77
"126";2009-06-01;208427;0,76
"127";2009-07-01;199073;0,79
"128";2009-08-01;202800;0,69
"129";2009-09-01;203589;0,69
"130";2009-10-01;210080;0,69
"131";2009-11-01;184279;0,66
"132";2009-12-01;164446;0,73
"133";2010-01-01;144382;0,66
"134";2010-02-01;155374;0,59
"135";2010-03-01;223575;0,76
"136";2010-04-01;178034;0,67
"137";2010-05-01;193368;0,75
"138";2010-06-01;169788;0,79
"139";2010-07-01;182984;0,86
"140";2010-08-01;202560;0,89
"141";2010-09-01;187079;0,85
"142";2010-10-01;194464;0,81
"143";2010-11-01;201947;0,81
"144";2010-12-01;198038;0,93
