"";"txj";"vv";"lower_txj";"upper_txj";"lower_vv";"upper_vv"
"1";0,16343373681572;4939,49758797791;0,121535512438159;0,19984691634707;600,224501359709;9149,21054929883
"2";0,104618366024045;-48,3788322894211;0,0772824813333603;0,128591512145602;-3222,20528423768;3323,8005736141
"3";0,0743345945936749;-2435,04382673484;0,0449807356574028;0,0971699895563578;-4888,27804568366;679,32307720294
"4";0,05832502897125;-3527,95505492407;0,0289786158556377;0,0793809333999925;-5577,69864905906;-565,454238155258
"5";0,0494742509638988;-3979,31333944997;0,0214142013171473;0,0689391784218323;-5889,43754333411;-1094,43901742683
"6";0,0442304664377059;-4114,37928530087;0,0176373732047574;0,0618234517455329;-6099,23855766664;-1218,29743495897
"7";0,0408200479984495;-4095,28991741234;0,0148802440930919;0,0580282048882187;-6095,01503633924;-1189,68804922891
"8";0,0383566604587261;-4002,79639094122;0,013008967218761;0,055002860504184;-6013,55798360899;-1107,9054257239
"9";0,0363967475819873;-3877,04759702687;0,011409319504595;0,0524993253837014;-5812,43409554806;-1007,04009649932
"10";0,0347177354197575;-3737,93931207751;0,00978463656208589;0,0503045599077495;-5600,77899066128;-903,197660555896
"11";0,0332073624491721;-3595,26737719286;0,00841969624401423;0,0482833863787383;-5388,63274165734;-805,225129087555
